player,team,position,matches_played,goals,assists,minutes,final_fantasy_points
Antoine Griezmann,France,FWD,7,4,2,649,87
Kylian Mbappe,France,FWD,7,4,1,564,72
Harry Kane,England,FWD,6,6,0,573,70
Romelu Lukaku,Belgium,FWD,6,4,1,536,65
Eden Hazard,Belgium,MID,7,3,2,645,72
Luka Modric,Croatia,MID,7,2,1,694,66
Ivan Perisic,Croatia,FWD,7,3,1,650,62
Cristiano Ronaldo,Portugal,FWD,4,4,0,360,56
Denis Cheryshev,Russia,MID,5,4,1,432,58
Yerry Mina,Colombia,DEF,4,3,0,360,52
Kevin De Bruyne,Belgium,MID,7,1,2,535,50
Paul Pogba,France,MID,7,1,1,648,47
Raphael Varane,France,DEF,7,1,0,646,52
Diego Godin,Uruguay,DEF,5,0,0,450,32
Edinson Cavani,Uruguay,FWD,4,3,1,360,52
Luis Suarez,Uruguay,FWD,5,3,0,432,46
Lionel Messi,Argentina,FWD,4,1,2,360,38
Neymar,Brazil,FWD,5,2,1,449,43
Philippe Coutinho,Brazil,MID,5,2,1,450,46
Mario Mandzukic,Croatia,FWD,7,3,1,650,55
Andrej Kramaric,Croatia,FWD,7,2,1,455,40
Ante Rebic,Croatia,FWD,6,1,0,378,28
Toni Kroos,Germany,MID,3,1,0,270,18
Bryan Ruiz,Costa Rica,MID,3,0,0,270,12
Artem Dzyuba,Russia,FWD,5,3,1,302,46
Aleksandr Golovin,Russia,MID,5,1,2,432,40
Aleksandr Cheryshev,Russia,MID,5,4,1,432,58
Granit Xhaka,Switzerland,MID,4,1,0,360,22
Xherdan Shaqiri,Switzerland,MID,4,1,1,329,26
Jordan Pickford,England,GK,7,0,0,690,40
Thibaut Courtois,Belgium,GK,7,0,0,630,46
Danijel Subasic,Croatia,GK,7,0,0,766,56
Hugo Lloris,France,GK,7,0,0,690,44
Kasper Schmeichel,Denmark,GK,4,0,0,420,30
Guillermo Ochoa,Mexico,GK,4,0,0,360,32
Pepe,Portugal,DEF,4,1,0,360,30
Cedric Soares,Portugal,DEF,4,0,1,360,28
Domagoj Vida,Croatia,DEF,7,1,0,694,46
Sime Vrsaljko,Croatia,DEF,7,0,1,650,40
Dejan Lovren,Croatia,DEF,7,0,0,694,38
Thiago Silva,Brazil,DEF,5,0,0,450,28
Marcelo,Brazil,DEF,4,0,1,326,24
Jerome Boateng,Germany,DEF,2,0,0,180,10
Mats Hummels,Germany,DEF,3,0,0,270,12
Lucas Hernandez,France,DEF,7,0,1,648,42
Benjamin Pavard,France,DEF,7,1,0,648,46
Samuel Umtiti,France,DEF,7,1,0,633,46
Vincent Kompany,Belgium,DEF,6,0,0,386,32
Toby Alderweireld,Belgium,DEF,7,0,1,630,40
Jan Vertonghen,Belgium,DEF,7,1,0,630,40
Thomas Meunier,Belgium,DEF,6,1,1,450,42
John Stones,England,DEF,7,2,0,630,52
Harry Maguire,England,DEF,7,1,1,690,50
Kieran Trippier,England,DEF,7,1,3,690,56
Gabriel Jesus,Brazil,FWD,5,0,0,433,12
Mile Jedinak,Australia,MID,3,2,0,255,28
